Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_EstacionArribo,Fecha Arribo,Hora_Arribo
O,34.0,3994084,066,13/04/2024,18:21:47,059,13/04/2024,18:43:20
M,24.0,7630064,222,07/02/2024,23:54:00,223,07/02/2024,23:56:53
M,34.0,8030371,027,07/03/2024,22:20:11,043,07/03/2024,22:44:54
F,22.0,5142989,025,24/03/2024,12:47:36,023,24/03/2024,14:09:21
M,26.0,6809438,439,16/03/2024,15:49:37,695,16/03/2024,16:04:26
M,69.0,5772033,227,13/01/2024,10:38:35,239,13/01/2024,10:54:37
M,24.0,3890118,367,19/03/2024,16:45:18,369,19/03/2024,16:47:37
M,27.0,3072386,226,05/04/2024,15:09:26,212,05/04/2024,15:14:39
M,50.0,5288410,646,17/01/2024,20:26:59,100,17/01/2024,20:57:12
M,32.0,5081302,369,22/03/2024,18:46:03,292,22/03/2024,19:00:32
M,26.0,3906567,598,15/02/2024,16:53:44,059,15/02/2024,17:36:29
M,27.0,6504229,480,04/03/2024,19:21:33,504,04/03/2024,19:36:46
F,22.0,5419197,257,27/01/2024,21:53:49,027,27/01/2024,22:00:21
F,28.0,6478341,257,20/03/2024,09:13:24,019,20/03/2024,09:17:07
M,50.0,8514606,630,26/01/2024,20:40:36,317,26/01/2024,21:00:36
M,27.0,7626096,192-193,13/04/2024,11:00:51,231,13/04/2024,11:04:40
O,30.0,6650717,595,20/03/2024,20:41:25,593,20/03/2024,20:47:07
M,29.0,5993217,114,15/01/2024,15:55:01,303,15/01/2024,16:20:09
M,54.0,5303060,259,26/03/2024,08:15:47,217,26/03/2024,08:32:57
M,30.0,4074720,070,05/01/2024,19:15:35,361,05/01/2024,19:59:48
F,28.0,4470530,546,04/03/2024,23:41:36,183,04/03/2024,23:55:28
M,25.0,7849797,387,24/03/2024,18:34:25,079,24/03/2024,18:57:01
M,28.0,2145241,254,20/03/2024,08:30:46,002,20/03/2024,08:42:50
F,39.0,8426447,007,13/03/2024,14:19:26,252,13/03/2024,14:39:44
M,20.0,8634628,116,27/03/2024,09:25:54,270,27/03/2024,09:38:05
M,35.0,5211032,133,05/01/2024,09:41:27,120,05/01/2024,09:47:24
M,34.0,3075967,133,17/03/2024,16:30:17,099,17/03/2024,16:43:27
M,33.0,8114605,045,23/04/2024,15:53:18,117,23/04/2024,16:19:00
M,27.0,5456769,129,09/04/2024,15:48:47,044,09/04/2024,15:57:49
M,33.0,8527632,217,13/02/2024,13:26:26,252,13/02/2024,13:33:46
M,30.0,4804209,433,26/01/2024,09:36:34,024,26/01/2024,10:09:54
F,35.0,6508196,211,29/01/2024,06:53:26,216,29/01/2024,06:58:17
M,25.0,2301265,005,05/01/2024,09:15:23,014,05/01/2024,09:19:27
O,28.0,8766719,109,12/04/2024,09:43:20,127,12/04/2024,09:56:12
F,26.0,4964680,032,10/04/2024,15:09:27,283,10/04/2024,15:31:04
M,28.0,8360976,017,23/03/2024,18:35:27,027,23/03/2024,19:30:28
F,33.0,7571656,112,08/03/2024,14:42:54,273-274,08/03/2024,14:52:23
M,25.0,4843504,563,16/02/2024,07:05:10,113,16/02/2024,07:12:00
M,23.0,2897270,501,01/02/2024,18:46:29,491,01/02/2024,18:52:10
M,33.0,5373261,134,19/04/2024,23:02:12,277,19/04/2024,23:11:28
M,43.0,5376991,114,04/03/2024,09:14:36,212,04/03/2024,09:35:48
M,31.0,8721110,220,29/02/2024,17:37:54,242,29/02/2024,17:44:40
O,24.0,3066925,390-391,27/03/2024,15:31:41,385,27/03/2024,15:36:02
M,32.0,5348180,065,26/04/2024,07:19:58,028,26/04/2024,07:38:12
F,39.0,6720403,006,15/04/2024,09:37:32,078,15/04/2024,09:54:33
M,28.0,7700172,010,21/01/2024,10:58:42,018,21/01/2024,11:10:14
F,45.0,2948743,178,17/01/2024,09:06:48,063,17/01/2024,09:14:43
F,28.0,7584584,316,19/04/2024,14:53:04,340,19/04/2024,15:05:50
M,30.0,6590335,600,04/04/2024,09:26:54,141,04/04/2024,09:41:23
M,44.0,4812988,198,29/02/2024,15:54:26,227,29/02/2024,16:02:15
F,26.0,2139996,448,26/03/2024,07:47:30,032,26/03/2024,08:00:58
M,34.0,6711766,037,20/03/2024,21:51:47,130,20/03/2024,21:59:09
M,46.0,7146657,433,13/03/2024,18:08:25,384,13/03/2024,18:19:09
M,25.0,5362579,060,03/02/2024,13:24:52,037,03/02/2024,13:45:21
M,51.0,2177715,144,29/04/2024,19:03:39,575,29/04/2024,19:09:26
F,24.0,6280390,546,01/02/2024,08:11:27,007,01/02/2024,08:32:00
F,22.0,6434435,217,22/01/2024,10:58:35,462,22/01/2024,11:29:38
M,31.0,7063076,334,23/01/2024,18:52:03,395,23/01/2024,19:04:14
F,23.0,5692785,218,24/04/2024,06:43:37,075,24/04/2024,06:56:28
F,45.0,6661136,277,29/04/2024,14:45:37,039,29/04/2024,14:58:41
M,37.0,6162556,604,01/03/2024,13:22:06,604,01/03/2024,13:27:00
F,39.0,2794451,158-159,19/03/2024,13:26:33,136,19/03/2024,13:38:15
M,31.0,2652337,084,09/01/2024,17:24:16,583,09/01/2024,17:44:37
M,38.0,5238001,088,23/04/2024,13:05:41,262,23/04/2024,13:15:44
F,52.0,6200554,006,06/02/2024,16:31:23,131,06/02/2024,16:47:59
F,33.0,3001245,547,22/02/2024,11:08:15,141,22/02/2024,11:23:51
M,35.0,5075130,047,10/01/2024,14:55:15,044,10/01/2024,15:00:06
M,42.0,8545873,399,15/02/2024,09:30:22,394,15/02/2024,09:35:17
M,49.0,2726784,555,10/01/2024,19:51:05,545,10/01/2024,19:57:43
M,36.0,5718689,016,18/04/2024,21:39:56,447,18/04/2024,21:50:44
O,28.0,6222459,178,08/02/2024,09:49:21,036,08/02/2024,09:57:29
M,26.0,4686770,266-267,22/02/2024,08:35:20,019,22/02/2024,08:46:06
F,37.0,3202371,340,10/04/2024,05:43:20,338,10/04/2024,05:48:29
M,37.0,5696109,004,10/02/2024,08:14:13,257,10/02/2024,08:19:22
M,35.0,8480923,100,24/04/2024,07:41:22,116,24/04/2024,07:54:56
M,29.0,3396645,020,21/03/2024,08:49:39,014,21/03/2024,08:58:10
F,19.0,2299857,298,04/03/2024,21:28:06,125,04/03/2024,21:54:00
M,38.0,7695869,110,26/02/2024,08:13:58,032,26/02/2024,08:31:26
M,28.0,5798376,225,25/02/2024,13:50:49,467,25/02/2024,14:38:36
M,24.0,5878970,560,06/01/2024,18:19:29,413,06/01/2024,18:56:11
M,49.0,4108676,194,14/03/2024,08:52:58,224,14/03/2024,09:01:21
F,26.0,6331367,161,26/02/2024,10:46:47,063,26/02/2024,10:57:13
M,41.0,7159437,156,15/04/2024,15:11:39,136,15/04/2024,15:18:07
M,22.0,2771202,018,09/04/2024,17:11:50,569,09/04/2024,17:27:10
M,46.0,8893612,038,17/02/2024,15:10:32,074,17/02/2024,15:20:39
M,24.0,3111705,339,18/03/2024,09:27:53,052,18/03/2024,09:58:59
M,37.0,5932231,053,01/04/2024,09:37:09,032,01/04/2024,09:43:34
F,38.0,3551702,154,28/04/2024,19:33:04,162,28/04/2024,19:39:45
M,25.0,3235579,231,16/04/2024,18:33:26,501,16/04/2024,19:04:12
M,28.0,3002797,095,24/03/2024,15:24:02,555,24/03/2024,15:45:48
M,37.0,5900626,273-274,23/04/2024,07:35:12,216,23/04/2024,08:02:20
M,39.0,6578686,386,30/04/2024,21:37:42,414,30/04/2024,21:44:38
F,51.0,6959712,339,28/03/2024,18:22:19,085,28/03/2024,18:57:36
M,47.0,8263402,087,21/02/2024,21:13:59,109,21/02/2024,21:21:31
M,40.0,5226881,124,24/04/2024,10:05:32,276,24/04/2024,10:15:59
M,26.0,4421772,081,09/04/2024,10:14:10,059,09/04/2024,10:18:27
M,32.0,2069797,341,24/04/2024,20:04:48,047,24/04/2024,20:29:23
M,45.0,8978660,107-108,05/01/2024,08:09:12,116,05/01/2024,08:40:36
M,42.0,4493128,194,23/04/2024,13:58:08,226,23/04/2024,14:02:22
M,40.0,4210712,018,17/01/2024,16:48:09,028,17/01/2024,16:54:34
M,41.0,8634644,083,13/02/2024,15:58:10,084,13/02/2024,16:03:14
M,23.0,7724735,164,19/01/2024,09:03:19,125,19/01/2024,09:20:57
M,35.0,8997330,589,27/03/2024,20:07:43,612,27/03/2024,20:18:48
F,25.0,7795743,415,16/02/2024,22:40:47,366,16/02/2024,22:54:13
M,39.0,7559651,197,16/01/2024,07:40:48,237-238,16/01/2024,07:52:28
M,42.0,6668644,392,11/04/2024,17:55:33,644,11/04/2024,18:40:48
M,22.0,6661029,106,05/04/2024,12:23:53,028,05/04/2024,13:48:48
M,27.0,5086046,498,23/04/2024,09:47:19,481,23/04/2024,09:58:28
M,33.0,6411847,167,19/03/2024,20:14:28,690,19/03/2024,20:52:16
M,29.0,2898237,054,28/01/2024,12:17:26,053,28/01/2024,12:23:22
M,22.0,6420301,317,02/04/2024,11:24:12,390-391,02/04/2024,11:35:42
M,24.0,2442408,271-272,27/03/2024,10:05:24,015,27/03/2024,10:17:22
M,31.0,5997788,602,06/04/2024,13:13:23,594,06/04/2024,13:19:39
M,28.0,6589493,190,24/01/2024,15:53:04,172,24/01/2024,15:59:49
M,52.0,2469260,110,15/01/2024,18:44:56,155,15/01/2024,19:02:31
M,44.0,7077712,645,06/03/2024,08:50:18,698,06/03/2024,08:59:27
M,31.0,4564712,484,11/02/2024,11:12:28,555,11/02/2024,11:26:19
M,27.0,6511539,628,31/01/2024,18:06:57,648,31/01/2024,18:19:58
M,34.0,3689353,404,05/04/2024,14:44:49,628,05/04/2024,14:46:56
M,28.0,5413224,192-193,12/01/2024,17:40:32,019,12/01/2024,17:56:12
F,25.0,7801020,584,29/02/2024,17:16:27,594,29/02/2024,17:27:21
F,25.0,7859242,017,13/04/2024,19:14:16,263,13/04/2024,19:25:52
M,37.0,7559826,064,18/02/2024,23:46:14,060,18/02/2024,23:53:31
M,25.0,4481933,025,10/02/2024,17:56:41,031,10/02/2024,18:02:18
M,29.0,8386369,013,21/04/2024,10:22:25,192-193,21/04/2024,11:04:27
F,21.0,5864939,027,28/04/2024,06:48:06,649,28/04/2024,07:26:35
F,33.0,4182796,347,10/04/2024,17:22:22,119,10/04/2024,17:53:14
M,64.0,4183471,036,10/04/2024,07:37:39,001,10/04/2024,08:11:05
M,31.0,6894968,004,17/02/2024,00:24:03,679,17/02/2024,00:49:42
M,39.0,7677628,104,17/01/2024,19:10:40,096,17/01/2024,19:17:46
M,31.0,3951589,118,01/02/2024,05:48:16,116,01/02/2024,06:26:22
F,27.0,3348794,449,06/02/2024,17:39:21,133,06/02/2024,17:53:55
F,26.0,7091010,058,25/03/2024,22:31:05,137,25/03/2024,22:42:41
M,47.0,3473071,024,03/04/2024,11:31:24,124,03/04/2024,11:52:00
M,36.0,6061485,390-391,30/03/2024,16:52:56,438,30/03/2024,17:23:20
M,34.0,4074894,123,15/04/2024,14:50:32,120,15/04/2024,14:54:39
M,23.0,4330726,451,20/02/2024,17:35:27,027,20/02/2024,17:57:32
M,36.0,6546865,001,19/03/2024,17:59:04,064,19/03/2024,18:12:06
F,28.0,2934560,263,04/01/2024,19:43:28,047,04/01/2024,20:06:08
F,31.0,6917256,128,10/03/2024,11:20:35,014,10/03/2024,12:14:46
M,28.0,2973873,250,19/03/2024,08:46:58,064,19/03/2024,09:00:17
F,28.0,4229084,074,18/03/2024,11:58:02,175,18/03/2024,12:05:07
M,32.0,4205001,036,12/03/2024,14:21:13,143,12/03/2024,14:36:54
F,34.0,4830758,260,04/02/2024,13:05:57,095,04/02/2024,13:27:01
O,42.0,4544532,223,29/04/2024,12:36:52,553,29/04/2024,12:57:18
F,27.0,2065795,173,22/02/2024,06:43:19,064,22/02/2024,06:52:23
M,37.0,7554058,035,19/01/2024,23:25:41,028,19/01/2024,23:47:59
M,25.0,2729762,009,16/04/2024,22:00:54,180,16/04/2024,22:16:48
M,53.0,6467369,337,06/02/2024,19:47:45,412,06/02/2024,20:02:16
F,36.0,8937120,568,16/01/2024,18:26:25,285,16/01/2024,18:54:53
M,32.0,6300222,377,03/01/2024,18:04:47,271-272,03/01/2024,18:33:53
M,30.0,2125599,242,16/04/2024,15:51:23,218,16/04/2024,16:04:35
M,37.0,6886188,460,25/04/2024,08:24:13,237-238,25/04/2024,08:33:57
F,20.0,7480627,173,20/04/2024,14:37:30,182,20/04/2024,14:45:40
M,27.0,3148699,252,31/01/2024,23:10:02,192-193,31/01/2024,23:20:45
M,39.0,6182000,385,07/02/2024,17:13:14,314,07/02/2024,17:21:58
M,38.0,4631248,668,25/04/2024,18:27:40,187,25/04/2024,18:48:19
F,29.0,7831977,049,22/04/2024,08:05:23,059,22/04/2024,08:14:10
F,45.0,3438868,041,25/01/2024,13:37:46,256,25/01/2024,13:44:24
F,36.0,2049856,306,04/04/2024,15:41:40,031,04/04/2024,16:14:26
F,26.0,5281159,390-391,28/02/2024,18:58:25,428,28/02/2024,19:15:28
M,38.0,4051652,096,25/01/2024,17:18:17,051,25/01/2024,17:33:32
F,21.0,4586152,081,11/01/2024,22:17:07,288,11/01/2024,22:28:02
F,47.0,3197696,555,02/02/2024,17:43:50,111,02/02/2024,17:52:26
O,42.0,8712564,059,20/03/2024,11:09:10,046,20/03/2024,11:13:36
M,47.0,3403607,294,16/02/2024,21:39:02,575,16/02/2024,21:53:38
F,27.0,2431047,605,23/04/2024,08:53:17,628,23/04/2024,09:10:45
M,32.0,5410469,117,20/03/2024,08:55:16,569,20/03/2024,09:24:39
M,34.0,5555594,034,13/03/2024,17:14:49,032,13/03/2024,17:19:19
F,29.0,4628129,031,11/03/2024,17:55:30,273-274,11/03/2024,18:10:01
M,30.0,8239923,070,18/01/2024,15:11:43,053,18/01/2024,15:16:03
F,29.0,5376108,018,14/01/2024,15:05:27,078,14/01/2024,15:36:39
M,31.0,5045133,052,29/01/2024,07:31:57,030,29/01/2024,07:47:43
M,36.0,7215288,585,29/02/2024,20:57:47,560,29/02/2024,21:05:28
M,49.0,3403607,651,05/02/2024,18:17:05,684,05/02/2024,18:35:34
M,32.0,5735014,091,09/01/2024,06:08:21,186,09/01/2024,06:38:05
M,42.0,8232506,114,23/02/2024,19:24:44,030,23/02/2024,19:34:26
M,32.0,5568563,120,27/04/2024,14:31:12,003,27/04/2024,14:56:53
M,34.0,7614621,546,31/03/2024,22:03:17,268-269,31/03/2024,22:17:33
M,26.0,6793186,059,31/01/2024,15:10:23,458,31/01/2024,15:43:00
M,53.0,4426375,142,22/02/2024,18:51:32,306,22/02/2024,19:09:12
M,28.0,8046203,547,21/03/2024,16:36:03,041,21/03/2024,16:46:27
M,34.0,6810659,181,12/02/2024,17:48:58,182,12/02/2024,18:02:41
F,30.0,2454718,117,12/01/2024,07:45:45,053,12/01/2024,07:59:09
F,29.0,2956308,035,02/04/2024,08:56:59,584,02/04/2024,09:21:02
M,30.0,8232506,107-108,29/04/2024,08:16:25,031,29/04/2024,08:23:36
M,72.0,2714178,439,18/04/2024,15:07:27,692,18/04/2024,15:21:11
F,29.0,4342614,205,30/04/2024,13:01:11,194,30/04/2024,13:10:32
F,35.0,7032055,137,01/02/2024,18:19:34,212,01/02/2024,18:45:11
F,25.0,4343935,254,09/04/2024,06:34:35,273-274,09/04/2024,06:44:00
F,29.0,8497398,054,22/02/2024,13:31:58,205,22/02/2024,13:48:15
M,48.0,2916690,282,12/04/2024,06:26:08,295,12/04/2024,06:28:46
F,24.0,7181191,114,18/03/2024,07:46:56,117,18/03/2024,07:51:29
M,32.0,6593099,483,18/02/2024,13:37:08,556,18/02/2024,14:15:23
M,27.0,3404928,015,19/02/2024,09:38:07,179,19/02/2024,09:46:51
M,34.0,5349915,072,02/02/2024,19:02:01,365,02/02/2024,19:23:08
F,38.0,8186199,124,04/04/2024,09:42:22,064,04/04/2024,09:55:23
F,20.0,3462587,060,06/03/2024,19:06:13,068,06/03/2024,19:41:38
F,23.0,6519052,242,11/01/2024,12:56:47,213,11/01/2024,13:03:35
F,43.0,2266088,173,26/03/2024,21:11:19,166,26/03/2024,21:30:04
M,38.0,4687034,463,03/04/2024,13:37:26,241,03/04/2024,13:43:54
M,25.0,8075160,226,08/04/2024,15:08:33,054,08/04/2024,15:18:16
M,35.0,7205982,339,05/03/2024,21:22:37,300,05/03/2024,21:31:46
F,29.0,6112858,208,14/03/2024,08:28:00,249,14/03/2024,08:38:55
M,37.0,2670966,103,02/02/2024,17:29:54,501,02/02/2024,17:40:54
F,26.0,2535045,260,30/03/2024,20:57:09,016,30/03/2024,21:40:04
M,24.0,2957348,514,22/01/2024,18:33:55,111,22/01/2024,19:01:49
M,37.0,8937120,022,22/02/2024,19:13:57,278,22/02/2024,19:37:46
F,22.0,2888261,709,31/01/2024,13:18:51,699,31/01/2024,13:34:53
M,29.0,2266120,034,17/01/2024,17:09:07,029,17/01/2024,17:29:08
M,33.0,3296258,005,11/02/2024,17:19:04,030,11/02/2024,17:26:23
M,22.0,8814899,380,24/04/2024,22:00:59,380,24/04/2024,22:25:30
F,34.0,7440381,287,14/02/2024,12:25:50,054,14/02/2024,12:42:04
M,27.0,2946655,058,22/03/2024,14:51:21,071,22/03/2024,14:59:35
F,30.0,6625453,453,03/01/2024,14:36:10,463,03/01/2024,14:47:48
M,27.0,4258125,056,29/02/2024,16:52:28,592,29/02/2024,17:17:37
F,33.0,6448302,016,03/02/2024,19:49:34,343,03/02/2024,20:31:29
M,42.0,6130124,491,09/04/2024,18:21:26,475,09/04/2024,18:30:18
M,49.0,2644334,478,05/03/2024,09:36:13,243,05/03/2024,09:46:06
M,45.0,8405987,624,07/03/2024,07:28:37,628,07/03/2024,07:35:13
M,25.0,8499428,494,21/02/2024,17:10:02,500,21/02/2024,17:21:49
F,42.0,8972754,226,22/01/2024,07:41:55,231,22/01/2024,07:47:28
M,49.0,3149218,082,18/01/2024,17:52:58,472,18/01/2024,18:28:18
M,20.0,5977277,273-274,07/02/2024,16:44:11,006,07/02/2024,16:56:43
M,48.0,6601280,286,20/03/2024,13:19:43,286,20/03/2024,13:22:53
M,26.0,2000776,044,09/03/2024,22:03:52,056,10/03/2024,10:37:48
M,36.0,4938189,048,03/04/2024,09:52:02,088,03/04/2024,09:58:29
F,26.0,8926222,476,05/04/2024,09:38:36,014,05/04/2024,09:50:56
M,55.0,7709751,152,22/01/2024,07:53:42,158-159,22/01/2024,07:58:30
F,33.0,2455889,127,06/03/2024,11:38:37,601,06/03/2024,12:10:38
M,36.0,4431649,117,04/03/2024,17:53:05,142,04/03/2024,18:08:35
F,37.0,8980864,224,04/04/2024,15:35:08,235-236,04/04/2024,15:44:43
F,25.0,4877924,014,08/03/2024,14:13:30,035,08/03/2024,14:23:38
M,24.0,8833592,333,12/04/2024,18:20:34,599,12/04/2024,18:52:28
M,25.0,6234462,053,16/01/2024,09:45:50,074,16/01/2024,09:49:31
M,35.0,4583050,172,09/01/2024,11:31:18,018,09/01/2024,12:01:49
M,43.0,2858868,634,19/04/2024,20:42:47,635,19/04/2024,20:45:32
F,40.0,4838686,271-272,11/01/2024,06:50:23,011,11/01/2024,07:01:08
M,38.0,6304729,060,12/03/2024,14:47:30,285,12/03/2024,14:59:07
M,27.0,7417181,257,17/04/2024,08:44:52,018,17/04/2024,08:48:49
M,46.0,3915303,558,17/04/2024,20:19:09,546,17/04/2024,20:44:47
M,21.0,6512834,378,02/02/2024,18:29:14,378,02/02/2024,18:38:19
M,41.0,7115488,576,07/03/2024,09:04:14,134,07/03/2024,09:16:42
M,35.0,8765893,041,21/04/2024,12:04:06,195,21/04/2024,12:30:09
M,36.0,4330726,028,19/03/2024,19:35:19,280,19/03/2024,19:53:41
F,35.0,7747843,327,14/02/2024,20:43:22,155,14/02/2024,20:55:40
M,39.0,8198665,180,23/01/2024,19:19:31,158-159,23/01/2024,19:27:21
F,27.0,6715320,499,31/03/2024,18:18:34,546,31/03/2024,18:26:24
F,29.0,5611181,347,25/01/2024,06:45:16,309,25/01/2024,06:52:19
M,31.0,5333612,304,16/01/2024,11:06:39,141,16/01/2024,11:22:09
M,64.0,4436424,120,03/02/2024,12:56:04,072,03/02/2024,13:10:29
M,29.0,6537930,087,24/04/2024,16:43:46,025,24/04/2024,16:59:12
M,36.0,3213444,028,07/02/2024,16:49:15,116,07/02/2024,17:01:48
M,25.0,2029635,465,16/02/2024,20:22:06,198,16/02/2024,20:31:14
M,29.0,8426744,301,19/04/2024,12:51:30,595,19/04/2024,13:09:57
M,34.0,3732849,417,16/04/2024,14:04:04,633,16/04/2024,14:26:35
M,45.0,3174604,135,06/04/2024,23:45:34,162,06/04/2024,23:58:30
M,22.0,8621963,034,28/02/2024,17:20:34,028,28/02/2024,17:49:25
M,38.0,4686770,232,16/04/2024,12:05:26,209,16/04/2024,12:38:11
F,25.0,4325718,025,17/01/2024,18:26:27,027,17/01/2024,18:30:43
M,25.0,2760585,002,05/04/2024,23:58:05,033,06/04/2024,00:03:38
F,51.0,6199210,041,22/02/2024,15:24:23,088,22/02/2024,15:39:04
F,31.0,4144390,375,18/02/2024,16:10:34,412,18/02/2024,16:18:56
M,38.0,8508780,070,05/04/2024,17:31:24,009,05/04/2024,17:52:05
F,33.0,6130975,017,13/04/2024,10:11:29,194,13/04/2024,10:31:18
F,56.0,3493665,158-159,26/01/2024,18:41:03,578,26/01/2024,18:57:09
M,35.0,5348180,701,11/03/2024,21:39:05,277,11/03/2024,22:10:35
M,33.0,5348081,492,10/01/2024,14:44:42,174,10/01/2024,14:51:25
M,30.0,4451399,273-274,15/02/2024,13:15:55,493,15/02/2024,13:26:44
M,32.0,7213283,196,08/03/2024,07:23:20,225,08/03/2024,07:31:12
M,32.0,7355522,633,18/04/2024,11:51:12,582,18/04/2024,12:14:46
F,32.0,7908494,637,23/04/2024,06:35:20,420,23/04/2024,06:54:49
M,31.0,4335550,031,25/03/2024,08:59:26,014,25/03/2024,09:07:42
F,34.0,5427216,563,30/01/2024,10:43:36,141,30/01/2024,10:51:21
M,34.0,4529020,095,30/01/2024,17:48:02,089,30/01/2024,17:51:39
F,29.0,7300890,359,01/02/2024,11:38:17,397,01/02/2024,11:44:51
F,39.0,6973267,412,13/02/2024,18:23:07,700,13/02/2024,18:37:37
M,26.0,4999611,013,18/02/2024,19:38:49,508,18/02/2024,20:08:02
M,25.0,2760270,448,06/02/2024,10:23:14,126,06/02/2024,10:37:33
M,29.0,5257076,106,24/01/2024,15:12:34,262,24/01/2024,15:18:53
M,43.0,3765237,077,25/01/2024,09:36:15,068,25/01/2024,09:40:22
F,37.0,8183386,271-272,16/04/2024,19:57:50,183,16/04/2024,20:09:09
M,48.0,2394948,156,05/03/2024,20:07:14,064,05/03/2024,20:13:03
M,26.0,3658044,227,15/03/2024,14:58:45,237-238,15/03/2024,15:13:02
F,28.0,8761751,432,29/01/2024,22:08:28,430,29/01/2024,22:12:45
F,37.0,3934650,199,08/03/2024,12:59:22,208,08/03/2024,13:06:20
F,27.0,2675684,158-159,27/04/2024,15:01:32,077,27/04/2024,15:18:15
M,67.0,5204821,397,13/04/2024,08:51:06,372,13/04/2024,08:55:49
M,24.0,2200129,626,19/04/2024,10:02:12,305,19/04/2024,10:15:10
M,18.0,2094894,237-238,03/02/2024,14:02:09,239,03/02/2024,14:09:58
M,24.0,6375554,205,27/04/2024,17:13:51,225,27/04/2024,17:38:45
M,43.0,2881852,037,02/02/2024,15:19:27,027,02/02/2024,15:39:14
M,39.0,4665949,452,29/02/2024,09:36:33,213,29/02/2024,09:56:33
M,53.0,6000145,615,15/03/2024,21:51:39,169,15/03/2024,22:10:44
M,32.0,5262282,208,17/04/2024,10:03:41,242,17/04/2024,10:13:13
M,37.0,3357951,419,15/02/2024,08:34:57,417,15/02/2024,08:40:09
F,36.0,8997280,110,03/04/2024,15:39:54,582,03/04/2024,15:55:42
F,28.0,5565866,562,07/03/2024,20:52:48,179,07/03/2024,21:14:07
M,38.0,6276521,172,15/01/2024,09:09:02,061,15/01/2024,09:16:28
M,44.0,4204046,399,20/03/2024,19:34:47,429,20/03/2024,19:40:56
M,36.0,7291677,476,06/01/2024,18:26:57,291,06/01/2024,18:50:09
M,30.0,7442023,191,21/03/2024,16:20:01,141,21/03/2024,16:38:14
M,32.0,8314858,544,17/04/2024,13:40:57,503,17/04/2024,13:47:47
F,33.0,6262976,217,31/03/2024,17:22:00,112,31/03/2024,17:50:35
M,49.0,3884822,356,28/04/2024,15:48:46,161,28/04/2024,16:00:35
F,20.0,5386628,068,19/03/2024,17:19:14,176,19/03/2024,17:39:16
F,24.0,4090213,464,14/03/2024,17:13:43,466,14/03/2024,17:19:24
M,33.0,6482871,195,09/02/2024,15:02:55,007,09/02/2024,15:29:36
O,35.0,3258811,357,16/04/2024,18:58:33,378,16/04/2024,19:01:16
M,46.0,4801429,067,26/04/2024,21:18:20,036,26/04/2024,21:22:47
M,43.0,2843381,273-274,22/02/2024,07:35:53,261,22/02/2024,07:48:10
M,23.0,4139655,603,28/04/2024,21:41:56,176,28/04/2024,22:10:57
M,27.0,2296499,044,03/03/2024,13:07:27,351,03/03/2024,13:36:14
F,34.0,2411650,076,19/04/2024,07:14:00,045,19/04/2024,07:24:31
M,49.0,8486409,342,06/04/2024,10:19:02,605,06/04/2024,10:37:09
M,30.0,8269904,106,17/02/2024,20:06:57,538,17/02/2024,20:33:59
F,42.0,5029137,030,08/03/2024,07:22:56,016,08/03/2024,07:28:08
O,44.0,6155238,060,30/04/2024,18:53:46,177,30/04/2024,18:58:07
M,37.0,7571656,007,21/03/2024,13:07:35,046,21/03/2024,13:34:27
M,22.0,6937403,151,06/01/2024,14:14:29,127,06/01/2024,14:24:15
F,35.0,3495736,181,24/01/2024,18:33:00,596,24/01/2024,18:54:22
M,26.0,5885637,045,12/02/2024,11:52:01,441,12/02/2024,12:26:37
M,32.0,6013460,555,09/02/2024,16:59:48,542,09/02/2024,17:05:35
M,36.0,7435027,243,02/04/2024,08:59:40,200,02/04/2024,09:05:48
F,27.0,2876829,074,07/03/2024,19:52:00,011,07/03/2024,20:07:38
M,37.0,2247773,257,28/02/2024,17:55:33,015,28/02/2024,18:03:01
M,33.0,3807336,477,12/02/2024,09:38:15,220,12/02/2024,09:58:04
M,43.0,2304301,208,18/01/2024,13:30:56,251,18/01/2024,13:39:33
M,38.0,5990767,008,07/04/2024,12:43:15,020,07/04/2024,13:25:39
M,27.0,3757598,353,24/04/2024,14:44:57,352,24/04/2024,14:51:00
M,45.0,4050258,208,15/03/2024,18:10:27,197,15/03/2024,18:24:29
M,22.0,8039364,146,05/04/2024,10:47:55,064,05/04/2024,11:05:37
M,29.0,4162376,354,04/01/2024,11:38:37,421,04/01/2024,12:20:10
M,31.0,5626072,041,20/04/2024,15:59:14,016,20/04/2024,16:20:04
M,26.0,8217432,663,24/01/2024,10:19:57,392,24/01/2024,10:32:51
F,36.0,2730851,260,26/03/2024,07:50:41,087,26/03/2024,07:58:32
M,22.0,7590961,270,17/04/2024,11:40:47,271-272,17/04/2024,11:44:39
F,31.0,4785853,016,17/03/2024,11:28:04,237-238,17/03/2024,11:51:25
M,27.0,5406632,041,30/03/2024,23:19:07,168,30/03/2024,23:55:22
F,35.0,7292980,206,11/04/2024,16:03:09,129,11/04/2024,16:28:53
F,49.0,2898237,104,07/03/2024,15:31:02,107-108,07/03/2024,15:38:49
F,45.0,3532256,059,23/02/2024,11:38:04,145,23/02/2024,11:43:59
F,40.0,7411499,581,19/02/2024,07:53:11,266-267,19/02/2024,08:23:29
M,44.0,6136634,679,25/02/2024,10:57:15,637,25/02/2024,11:31:40
M,25.0,2755221,192-193,10/02/2024,19:28:27,449,10/02/2024,19:51:39
