Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_EstacionArribo,Fecha Arribo,Hora_Arribo
M,44.0,3663556,260,10/02/2024,13:21:35,271-272,10/02/2024,13:29:19
M,37.0,8682320,135,28/02/2024,09:28:53,056,28/02/2024,09:37:40
F,54.0,6739114,151,11/04/2024,08:37:56,158-159,11/04/2024,08:40:52
M,41.0,6503874,592,22/02/2024,09:20:08,589,22/02/2024,09:26:16
M,47.0,5731765,019,01/02/2024,18:10:59,266-267,01/02/2024,18:21:57
M,23.0,7634876,018,22/03/2024,10:31:42,130,22/03/2024,10:51:07
M,51.0,5672696,237-238,26/04/2024,07:41:15,214,26/04/2024,07:48:24
M,21.0,7535578,494,12/03/2024,15:00:01,489,12/03/2024,15:04:51
F,27.0,7756604,020,20/03/2024,06:46:17,014,20/03/2024,06:55:50
F,28.0,8900839,552,20/02/2024,19:28:55,537,20/02/2024,19:41:52
M,39.0,2386373,182,31/01/2024,19:52:01,150,31/01/2024,20:00:22
M,35.0,3440724,253,16/02/2024,17:19:21,271-272,16/02/2024,17:41:40
F,27.0,2601623,031,14/03/2024,17:51:48,041,14/03/2024,18:01:25
M,35.0,4996203,041,07/02/2024,20:20:08,271-272,07/02/2024,20:27:48
M,49.0,5877394,106,21/02/2024,09:24:00,098,21/02/2024,10:07:07
M,27.0,4515995,469,11/03/2024,18:19:59,033,11/03/2024,19:01:06
M,25.0,6137327,360,12/03/2024,16:58:09,377,12/03/2024,17:00:51
M,22.0,6010771,546,11/04/2024,05:55:21,472,11/04/2024,06:05:16
M,32.0,4610713,462,28/02/2024,09:57:08,011,28/02/2024,10:18:15
M,27.0,8852865,228,11/02/2024,10:14:59,044,11/02/2024,10:52:58
M,54.0,4994406,001,04/03/2024,14:01:37,030,04/03/2024,14:13:47
M,40.0,6984140,593,12/01/2024,17:01:34,599,12/01/2024,17:03:46
M,29.0,6045637,120,07/04/2024,14:36:28,130,07/04/2024,14:39:23
M,27.0,6408694,056,08/02/2024,06:05:21,271-272,08/02/2024,06:20:44
M,32.0,3138468,082,22/04/2024,09:15:06,129,22/04/2024,09:37:03
M,28.0,2275600,136,24/04/2024,23:45:41,133,24/04/2024,23:50:49
M,26.0,4037354,201,16/04/2024,17:07:49,584,16/04/2024,17:42:18
M,44.0,2522167,574,13/04/2024,13:51:16,447,13/04/2024,14:12:58
F,33.0,5381207,112,28/02/2024,13:20:51,124,28/02/2024,13:28:45
F,29.0,7829179,037,06/01/2024,09:01:30,136,06/01/2024,09:12:33
M,53.0,4924056,181,11/01/2024,15:17:45,084,11/01/2024,15:21:42
M,30.0,5302658,064,05/02/2024,18:53:57,164,05/02/2024,19:03:48
M,21.0,2188407,331,13/01/2024,17:49:52,614,13/01/2024,18:06:52
F,31.0,2196749,053,15/04/2024,19:15:14,143,15/04/2024,19:32:47
M,47.0,6359756,154,29/04/2024,21:03:14,178,29/04/2024,21:14:10
M,29.0,7004401,369,02/04/2024,19:30:05,040,02/04/2024,19:53:03
F,33.0,3668274,316,03/03/2024,15:16:32,613,03/03/2024,15:25:47
M,40.0,2723427,216,28/02/2024,18:41:48,145,28/02/2024,19:07:58
M,22.0,2854065,015,01/04/2024,13:34:04,054,01/04/2024,13:40:40
M,32.0,3420742,291,21/03/2024,11:00:12,074,21/03/2024,11:08:05
F,21.0,6547566,260,07/04/2024,18:47:41,260,07/04/2024,19:03:05
M,25.0,8396806,620,23/02/2024,09:20:45,618,23/02/2024,09:25:49
M,43.0,6929806,091,14/01/2024,14:03:26,016,14/01/2024,14:21:57
M,34.0,3462769,551,02/03/2024,17:14:43,151,02/03/2024,17:35:24
M,23.0,2184059,043,24/04/2024,17:02:41,043,24/04/2024,17:18:14
O,27.0,6469407,433,06/01/2024,12:21:03,439,06/01/2024,12:59:43
F,60.0,7701410,085,03/04/2024,07:01:48,018,03/04/2024,07:10:24
M,28.0,6352561,121,12/01/2024,19:22:35,135,12/01/2024,19:31:22
F,40.0,6655229,032,26/03/2024,10:53:23,057,26/03/2024,11:00:15
M,30.0,7736580,070,25/01/2024,22:08:17,002,25/01/2024,22:21:36
M,61.0,5131966,077,16/01/2024,21:59:05,068,16/01/2024,22:02:41
F,24.0,3236692,243,28/03/2024,10:45:47,477,28/03/2024,10:57:01
M,45.0,5930904,608,19/03/2024,08:14:43,277,19/03/2024,08:29:10
M,32.0,8211708,192-193,20/01/2024,14:33:31,033,20/01/2024,14:49:42
M,30.0,5429360,064,20/02/2024,19:40:12,188,20/02/2024,20:14:11
M,37.0,4183471,679,04/03/2024,07:30:41,115,04/03/2024,08:07:36
M,35.0,4201141,017,24/04/2024,20:57:30,005,24/04/2024,20:59:03
M,35.0,5144829,014,20/01/2024,11:18:18,031,20/01/2024,11:27:53
M,67.0,5280110,092,24/02/2024,20:14:01,055,24/02/2024,20:20:33
M,26.0,5374517,459,04/04/2024,17:15:12,095,04/04/2024,18:14:08
F,24.0,4794186,515,27/03/2024,11:24:45,518,27/03/2024,11:32:13
M,32.0,2427409,505,07/03/2024,06:50:01,499,07/03/2024,06:59:13
M,41.0,4024717,121,17/04/2024,15:21:46,564,17/04/2024,15:28:14
F,32.0,4248191,023,15/02/2024,17:14:09,323,15/02/2024,17:52:39
M,23.0,7531304,293,11/04/2024,21:46:25,143,11/04/2024,21:58:31
F,35.0,6361679,007,07/03/2024,18:22:31,041,07/03/2024,18:47:19
F,33.0,2675080,035,28/02/2024,10:45:12,001,28/02/2024,10:59:26
M,40.0,3717808,020,10/02/2024,18:05:28,019,10/02/2024,18:47:28
M,39.0,8626889,259,21/02/2024,11:53:31,031,21/02/2024,12:03:35
F,28.0,2741791,037,14/03/2024,17:53:18,195,14/03/2024,18:05:31
M,30.0,6610778,042,10/01/2024,08:30:30,022,10/01/2024,08:36:00
F,56.0,7176795,095,18/04/2024,13:11:03,558,18/04/2024,13:20:46
M,31.0,8394108,660,03/04/2024,20:25:17,395,03/04/2024,20:38:41
M,30.0,5265541,545,03/01/2024,13:13:41,041,03/01/2024,13:25:39
M,34.0,2401040,281,23/04/2024,07:04:06,295,23/04/2024,07:05:24
M,25.0,6846612,582,21/02/2024,14:11:38,586,21/02/2024,14:15:34
F,26.0,2026599,485,01/03/2024,07:37:11,243,01/03/2024,08:50:16
M,37.0,3448537,684,06/02/2024,20:20:17,398,06/02/2024,20:34:31
M,45.0,5488192,076,02/02/2024,21:49:58,073,02/02/2024,21:54:33
M,29.0,7981285,084,26/02/2024,13:38:31,061,26/02/2024,13:42:26
F,31.0,6374482,036,16/01/2024,09:04:17,116,16/01/2024,09:19:36
M,50.0,2906808,393,29/02/2024,21:25:36,380,29/02/2024,21:27:34
F,26.0,2510436,215,20/01/2024,13:19:48,463,20/01/2024,13:27:43
F,33.0,5986971,352,30/04/2024,08:05:47,355,30/04/2024,08:14:20
M,33.0,2449668,477,10/04/2024,10:26:40,018,10/04/2024,10:38:05
M,46.0,4973020,138,21/03/2024,19:24:25,130,21/03/2024,19:27:30
F,28.0,5982277,011,06/01/2024,17:00:27,548,06/01/2024,17:18:47
M,40.0,7305220,128,31/01/2024,09:56:02,116,31/01/2024,09:59:53
M,31.0,3813177,323,05/03/2024,21:33:17,620,05/03/2024,21:51:33
M,63.0,2003184,118,08/02/2024,17:32:34,114,08/02/2024,17:42:56
F,25.0,6964613,596,12/03/2024,08:50:47,323,12/03/2024,09:00:19
F,25.0,4458402,053,24/02/2024,07:54:34,161,24/02/2024,08:09:30
M,21.0,8665101,276,23/04/2024,19:48:27,576,23/04/2024,20:19:31
M,32.0,7290620,141,24/04/2024,17:56:20,354,24/04/2024,18:21:46
M,34.0,7647787,102,24/01/2024,15:44:56,096,24/01/2024,15:48:43
M,22.0,6087555,287,11/01/2024,15:43:27,140,11/01/2024,15:59:24
M,24.0,8726655,069,17/03/2024,11:29:41,121,17/03/2024,11:39:31
M,34.0,3140563,342,15/04/2024,23:43:28,624,15/04/2024,23:59:33
F,32.0,2231389,174,16/01/2024,08:21:50,012,16/01/2024,08:27:51
M,33.0,3599859,570,04/03/2024,11:00:27,096,04/03/2024,11:11:12
M,37.0,3029337,175,27/01/2024,16:10:36,338,27/01/2024,16:23:29
F,30.0,2370526,346,22/03/2024,07:59:36,381,22/03/2024,08:06:48
M,28.0,7292238,479,21/02/2024,15:21:49,271-272,21/02/2024,15:36:38
M,27.0,8716391,392,10/01/2024,15:13:54,597,10/01/2024,15:44:53
M,34.0,3271228,585,30/04/2024,06:40:34,576,30/04/2024,06:46:38
M,35.0,4276820,001,13/04/2024,12:47:52,011,13/04/2024,12:53:58
M,39.0,4114724,549,10/01/2024,07:40:11,014,10/01/2024,07:54:45
O,34.0,6176796,428,23/04/2024,18:43:13,401,23/04/2024,18:49:03
M,29.0,4310827,545,12/03/2024,11:28:35,497,12/03/2024,11:35:15
M,29.0,7361264,117,11/03/2024,06:28:24,197,11/03/2024,06:56:54
M,43.0,4259586,015,10/04/2024,15:24:32,212,10/04/2024,15:37:42
M,36.0,7712714,395,02/03/2024,21:25:25,348,02/03/2024,21:38:18
M,37.0,4492914,010,01/03/2024,07:29:20,315,01/03/2024,07:52:54
M,33.0,4336665,005,30/03/2024,22:18:25,117,31/03/2024,03:19:37
M,31.0,7379795,015,11/01/2024,17:21:10,266-267,11/01/2024,17:39:12
F,29.0,4889085,211,28/02/2024,18:53:23,452,28/02/2024,19:00:17
M,34.0,4051652,038,15/03/2024,23:38:31,038,16/03/2024,00:04:09
M,44.0,5188933,139,23/04/2024,19:54:23,151,23/04/2024,19:57:30
M,34.0,3817905,614,30/01/2024,08:09:56,001,30/01/2024,08:35:56
M,23.0,5535273,635,03/03/2024,09:49:02,390-391,03/03/2024,10:10:15
M,40.0,6823876,352,19/02/2024,16:12:09,365,19/02/2024,16:15:51
M,34.0,8536724,555,25/01/2024,12:13:47,071,25/01/2024,12:38:15
F,30.0,8463382,037,12/04/2024,11:03:08,063,12/04/2024,11:10:08
F,26.0,3181161,356,14/03/2024,19:26:09,156,14/03/2024,19:45:40
M,37.0,7669013,018,11/04/2024,09:11:47,461,11/04/2024,09:36:58
O,26.0,2004398,141,12/03/2024,15:17:31,148,12/03/2024,15:21:02
