station_id,balance_ratio,num_bikes_available,num_docks_available,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging,eightd_has_key_dispenser,has_kiosk,lat_grid,lon_grid
8,0.18595480277819187,5.685567010309279,23.992268041237114,ec55e597-c8fc-4e86-bcfe-b0e81a494790,CE-443 Bruno Traven-Golondrinas,443,19.359583,-99.162085,"['KEY', 'CREDITCARD']",31,False,False,False,True,19.35,-99.17
9,0.1954787517875819,4.451030927835052,17.24742268041237,a98c7fac-12ce-4895-923b-6b39f04721ca,CE-423 Moras-José María Rico (Eje 8),423,19.367816,-99.175269,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.36,-99.18
10,0.18148806949430515,4.012886597938144,17.27577319587629,ae1c2b82-7148-41c2-acd1-d9280241f87e,CE-438 Adolfo Prieto-José María Olloqui,438,19.36473,-99.174447,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.36,-99.18
11,0.105986430522513,2.8402061855670104,23.461340206185568,f6484d2e-8282-41e6-a023-1afb53dae580,CE-415 San Francisco-Parroquia,415,19.37099,-99.176135,"['KEY', 'CREDITCARD']",27,False,False,False,True,19.37,-99.18
12,0.15118174875906834,4.033505154639175,21.561855670103093,90714c5e-7256-4744-a55d-9370f26d89bd,CE-417 Goya-Augusto Rodin,417,19.373198,-99.184274,"['KEY', 'CREDITCARD']",27,False,False,False,True,19.37,-99.19
16,0.13621131147352575,3.518041237113402,21.311855670103093,d821ac72-6eb9-47ba-8e9d-b288db2d99d1,CE-405 División Del Norte-Municipio Libre,405,19.370565558464016,-99.15662247688942,"['KEY', 'CREDITCARD']",27,False,False,False,True,19.37,-99.16
17,0.12499870045105838,2.7809278350515463,18.466494845360824,4f21a08a-24f2-465e-b8f3-5874d064e015,CE-375 Tenayuca-División Del Norte,375,19.376997,-99.158779,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.37,-99.16
18,0.10138441505936957,3.5257731958762886,30.280927835051546,ac88b65c-7622-4b42-84bd-b9c3f36f7d22,CE-394 Dr. Roberto Gayol-Félix Cuevas,394,19.372474,-99.171639,"['KEY', 'CREDITCARD']",35,False,False,False,True,19.37,-99.18
19,0.15844619634795498,2.945876288659794,14.721649484536082,08164fbf-ce81-4db0-9bf3-98845325dfa6,CE-337 San Borja-Martín Mendalde,337,19.384849,-99.16704,"['KEY', 'CREDITCARD']",19,False,False,False,True,19.38,-99.17
20,0.1528067007000364,5.048969072164948,27.329896907216494,8c4eceec-211c-4064-b923-97c71f09b1a7,CE-412 Parroquia-Avenida Universidad,412,19.368107,-99.164376,"['KEY', 'CREDITCARD']",34,False,False,False,True,19.36,-99.17
21,0.1407988769037626,3.1417525773195876,18.211340206185568,616c0715-1a8e-492b-85cb-452f062ca42b,CE-381 San Lorenzo-Manzanas,381,19.3755433811006,-99.17801052342838,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.37,-99.18
26,0.16213441426489206,3.0412371134020617,14.61340206185567,d353123d-74b4-405b-8257-a61eb1d771ee,CE-362 Augusto Rodin-Alberto Balderas,362,19.38212328115473,-99.18109126394484,"['KEY', 'CREDITCARD']",19,False,False,False,True,19.38,-99.19
29,0.16671282333558862,5.108247422680412,25.15721649484536,22226b72-86e9-4fb9-9f0c-38447c7daa97,CE-421 María Luz Bringas-Oso,421,19.36952,-99.179421,"['KEY', 'CREDITCARD']",31,False,False,False,True,19.36,-99.18
33,0.07657209152054513,2.0463917525773194,24.1159793814433,b89266bb-5035-46c6-bec9-b2287ee9b396,CE-434 Jose María Olloqui-Amores,434,19.363698614576656,-99.17118497195588,"['KEY', 'CREDITCARD']",27,False,False,False,True,19.36,-99.18
34,0.15339573159703382,2.8943298969072164,15.175257731958762,df9f2e23-6015-45e3-be47-9681ee56bcb6,CE-439 Amores-Avenida Coyoacán,439,19.362037,-99.172683,"['KEY', 'CREDITCARD']",19,False,False,False,True,19.36,-99.18
37,0.17840261748312503,5.422680412371134,23.49742268041237,eac91559-8b08-4a23-8a13-b3a5cbc3397f,CE-374 Pitágoras-Pilares,374,19.376959,-99.161099,"['KEY', 'CREDITCARD']",31,False,False,False,True,19.37,-99.17
38,0.22386395429873693,4.801546391752577,15.24742268041237,fbf45c04-d7b3-42e6-921a-6ba289aaee72,CE-384 Empresa-Poussin,384,19.375865,-99.185573,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.37,-99.19
39,0.23154960121143775,4.265463917525773,12.935567010309278,7bb63b63-4288-4f6d-99e0-34c7f805f315,CE-348 Indiana-Avenida San Antonio,348,19.3854574,-99.1782718,"['KEY', 'CREDITCARD']",19,False,False,False,True,19.38,-99.18
41,0.1607181664891212,3.6778350515463916,18.567010309278352,ad09be68-706a-477f-8860-fa91a86420d1,CE-353 Carolina-Holbein,353,19.3823345657493,-99.17888358246272,"['KEY', 'CREDITCARD']",23,False,False,False,True,19.38,-99.18
42,0.13185778018930486,2.4536082474226806,15.092783505154639,6546cc34-2240-4073-8d41-0db07cfdecde,CE-387 Cadiz-Empresa,387,19.374267,-99.180546,"['KEY', 'CREDITCARD']",19,False,False,False,True,19.37,-99.19
